pl_name,ra,dec,X,Y,Z
GJ 1061 d,54.0032486,-44.5143104,-1.7771724567077354,1.046087437089304,-3.039189375719013
GJ 1132 b,153.7090696,-47.1549358,-2.8614553666314824,0.08886528518936575,-12.283808250940103
GJ 1132 c,153.7090696,-47.1549358,-2.8614553666314824,0.08886528518936575,-12.283808250940103
GJ 1148 b,175.4326081,42.7515862,-1.7503802552313017,4.9469115343994225,9.683957854251656
GJ 1148 c,175.4326081,42.7515862,-1.7503802552313017,4.9469115343994225,9.683957854251656
GJ 1151 c,177.7304866,48.3732334,-2.4718625980188147,-7.422956171711995,-1.8360095402416856
GJ 1214 b,258.8313991,4.9606795,3.3802483821344893,-13.333167791241134,5.020878490432444
GJ 1252 b,306.9286462,-56.4622865,-16.47957433334683,-1.4270777243612485,11.893115990367216
GJ 1265 b,333.4324675,-17.6870623,1.6734437255303107,3.86820757105139,9.346138910520425
GJ 143 b,51.7501882,-63.500166,12.761610598214737,-10.075442753440857,1.4032634327414784
GJ 15 A b,4.6126677,44.0247296,-3.541391868310661,-0.1503601851181469,-0.3546466525915027
GJ 15 A c,4.6126677,44.0247296,-3.541391868310661,-0.1503601851181469,-0.3546466525915027
GJ 160.2 b,61.6454173,-20.8564724,10.1252237531905,21.725645357089515,9.69501935303903
GJ 163 b,62.3228353,-53.3711768,7.367667384880223,0.2646004876442192,13.21056305150203
GJ 163 c,62.3228353,-53.3711768,7.367667384880223,0.2646004876442192,13.21056305150203
GJ 163 d,62.3228353,-53.3711768,7.367667384880223,0.2646004876442192,13.21056305150203
GJ 179 b,73.0245495,6.4752347,-8.425167439505962,-1.6382390298013791,-8.888389195884933
GJ 180 b,73.460097,-17.776194,-5.317671154900685,-9.79356831092773,-4.288205885627384
GJ 180 c,73.460097,-17.776194,-5.317671154900685,-9.79356831092773,-4.288205885627384
GJ 180 d,73.460097,-17.776194,-5.317671154900685,-9.79356831092773,-4.288205885627384
GJ 2030 b,50.8237604,-7.7950429,1.1569820266829993,-19.60751343351408,31.449073420126346
GJ 2030 c,50.8237604,-7.7950429,1.1569820266829993,-19.60751343351408,31.449073420126346
GJ 2056 b,108.0194945,-24.8921008,25.799605637905252,6.331109468103675,10.164861307044763
GJ 229 A c,92.6435993,-21.8677233,5.709267991993208,0.708268168796405,-0.19213051364015313
GJ 229 b,92.6435993,-21.8677233,5.709267991993208,0.708268168796405,-0.19213051364015313
GJ 238 b,98.454881,-58.5250316,5.252499990170377,12.23299648886679,-7.3645721122569645
GJ 251 b,103.7002499,33.2664632,0.04266370402628325,-0.14851264256266933,-5.578430364202623
GJ 27.1 b,9.9980016,-44.2541679,-12.332423690689753,3.4379494807763966,-19.832914756054983
GJ 273 b,111.852091,5.225807,-2.7556402096662107,4.887145196030588,1.8938943011717766
GJ 273 c,111.852091,5.225807,-2.7556402096662107,4.887145196030588,1.8938943011717766
GJ 3021 b,4.0634323,-79.8514218,3.5848590111597094,-13.519844969010114,-10.610004839491781
GJ 3082 b,18.6432425,-53.9407751,2.930925330326497,-1.7318779866007161,16.26616553793728
GJ 3090 b,20.4384281,-46.7147234,-20.616474515668276,-8.940138260989709,-0.4062344510116756
GJ 3138 b,32.2977385,-16.3392495,-17.741105651688667,12.970284313515679,18.100666410996848
GJ 3138 c,32.2977385,-16.3392495,-17.741105651688667,12.970284313515679,18.100666410996848
